time,analytic,euler
0.000,10.000000,10.000000
0.100,10.356197,10.350000
0.200,10.725082,10.712250
0.300,11.107106,11.087179
0.400,11.502738,11.475230
0.500,11.912462,11.876863
0.600,12.336781,12.292553
0.700,12.776213,12.722793
0.800,13.231298,13.168090
0.900,13.702593,13.628974
1.000,14.190675,14.105988
1.100,14.696143,14.599697
1.200,15.219616,15.110687
1.300,15.761734,15.639561
1.400,16.323162,16.186945
1.500,16.904588,16.753488
1.600,17.506725,17.339860
1.700,18.130309,17.946756
1.800,18.776106,18.574892
1.900,19.444905,19.225013
2.000,20.137527,19.897889
2.100,20.854820,20.594315
2.200,21.597663,21.315116
2.300,22.366965,22.061145
2.400,23.163670,22.833285
2.500,23.988753,23.632450
2.600,24.843225,24.459586
2.700,25.728134,25.315671
2.800,26.644562,26.201720
2.900,27.593634,27.118780
3.000,28.576511,28.067937
3.100,29.594398,29.050315
3.200,30.648542,30.067076
3.300,31.740234,31.119424
3.400,32.870812,32.208603
3.500,34.041661,33.335904
3.600,35.254215,34.502661
3.700,36.509960,35.710254
3.800,37.810434,36.960113
3.900,39.157231,38.253717
4.000,40.552000,39.592597
4.100,41.996450,40.978338
4.200,43.492351,42.412580
4.300,45.041536,43.897020
4.400,46.645903,45.433416
4.500,48.307416,47.023586
4.600,50.028112,48.669411
4.700,51.810099,50.372840
4.800,53.655560,52.135890
4.900,55.566755,53.960646
5.000,57.546027,55.849269
5.100,59.595799,57.803993
5.200,61.718584,59.827133
5.300,63.916983,61.921082
5.400,66.193687,64.088320
5.500,68.551487,66.331411
5.600,70.993271,68.653011
5.700,73.522030,71.055866
5.800,76.140864,73.542822
5.900,78.852979,76.116820
6.000,81.661699,78.780909
6.100,84.570465,81.538241
6.200,87.582840,84.392079
6.300,90.702516,87.345802
6.400,93.933313,90.402905
6.500,97.279190,93.567007
6.600,100.744247,96.841852
6.700,104.332727,100.231317
6.800,108.049029,103.739413
6.900,111.897704,107.370292
7.000,115.883467,111.128253
7.100,120.011203,115.017741
7.200,124.285967,119.043362
7.300,128.712997,123.209880
7.400,133.297716,127.522226
7.500,138.045742,131.985504
7.600,142.962891,136.604996
7.700,148.055188,141.386171
7.800,153.328870,146.334687
7.900,158.790400,151.456401
8.000,164.446468,156.757375
8.100,170.304003,162.243884
8.200,176.370182,167.922419
8.300,182.652437,173.799704
8.400,189.158463,179.882694
8.500,195.896232,186.178588
8.600,202.873999,192.694839
8.700,210.100312,199.439158
8.800,217.584024,206.419529
8.900,225.334304,213.644212
9.000,233.360646,221.121759
9.100,241.672884,228.861021
9.200,250.281202,236.871157
9.300,259.196145,245.161647
9.400,268.428637,253.742305
9.500,277.989986,262.623286
9.600,287.891909,271.815101
9.700,298.146535,281.328629
9.800,308.766427,291.175131
9.900,319.764598,301.366261
10.000,331.154520,311.914080
10.100,342.950147,322.831073
10.200,355.165932,334.130160
10.300,367.816839,345.824716
10.400,380.918367,357.928581
10.500,394.486569,370.456081
10.600,408.538065,383.422044
10.700,423.090072,396.841816
10.800,438.160417,410.731279
10.900,453.767564,425.106874
11.000,469.930632,439.985614
11.100,486.669425,455.385111
11.200,504.004448,471.323590
11.300,521.956939,487.819915
11.400,540.548894,504.893613
11.500,559.803088,522.564889
11.600,579.743111,540.854660
11.700,600.393392,559.784573
11.800,621.779229,579.377033
11.900,643.926824,599.655229
12.000,666.863310,620.643162
