alpha,time,value
0.15,0.000,10.000000
0.15,0.100,10.151131
0.15,0.200,10.304545
0.15,0.300,10.460279
0.15,0.400,10.618365
0.15,0.500,10.778842
0.15,0.600,10.941743
0.15,0.700,11.107106
0.15,0.800,11.274969
0.15,0.900,11.445368
0.15,1.000,11.618342
0.15,1.100,11.793931
0.15,1.200,11.972174
0.15,1.300,12.153110
0.15,1.400,12.336781
0.15,1.500,12.523227
0.15,1.600,12.712492
0.15,1.700,12.904616
0.15,1.800,13.099645
0.15,1.900,13.297620
0.15,2.000,13.498588
0.15,2.100,13.702593
0.15,2.200,13.909681
0.15,2.300,14.119899
0.15,2.400,14.333294
0.15,2.500,14.549914
0.15,2.600,14.769808
0.15,2.700,14.993025
0.15,2.800,15.219616
0.15,2.900,15.449631
0.15,3.000,15.683122
0.15,3.100,15.920142
0.15,3.200,16.160744
0.15,3.300,16.404982
0.15,3.400,16.652912
0.15,3.500,16.904588
0.15,3.600,17.160069
0.15,3.700,17.419410
0.15,3.800,17.682671
0.15,3.900,17.949910
0.15,4.000,18.221188
0.15,4.100,18.496566
0.15,4.200,18.776106
0.15,4.300,19.059870
0.15,4.400,19.347923
0.15,4.500,19.640330
0.15,4.600,19.937155
0.15,4.700,20.238467
0.15,4.800,20.544332
0.15,4.900,20.854820
0.15,5.000,21.170000
0.15,5.100,21.489944
0.15,5.200,21.814723
0.15,5.300,22.144410
0.15,5.400,22.479080
0.15,5.500,22.818808
0.15,5.600,23.163670
0.15,5.700,23.513744
0.15,5.800,23.869109
0.15,5.900,24.229844
0.15,6.000,24.596031
0.15,6.100,24.967753
0.15,6.200,25.345092
0.15,6.300,25.728134
0.15,6.400,26.116965
0.15,6.500,26.511672
0.15,6.600,26.912345
0.15,6.700,27.319073
0.15,6.800,27.731948
0.15,6.900,28.151062
0.15,7.000,28.576511
0.15,7.100,29.008390
0.15,7.200,29.446796
0.15,7.300,29.891827
0.15,7.400,30.343584
0.15,7.500,30.802168
0.15,7.600,31.267684
0.15,7.700,31.740234
0.15,7.800,32.219926
0.15,7.900,32.706868
0.15,8.000,33.201169
0.15,8.100,33.702941
0.15,8.200,34.212295
0.15,8.300,34.729348
0.15,8.400,35.254215
0.15,8.500,35.787014
0.15,8.600,36.327866
0.15,8.700,36.876891
0.15,8.800,37.434214
0.15,8.900,37.999959
0.15,9.000,38.574255
0.15,9.100,39.157231
0.15,9.200,39.749016
0.15,9.300,40.349746
0.15,9.400,40.959554
0.15,9.500,41.578578
0.15,9.600,42.206958
0.15,9.700,42.844835
0.15,9.800,43.492351
0.15,9.900,44.149654
0.15,10.000,44.816891
0.15,10.100,45.494211
0.15,10.200,46.181768
0.15,10.300,46.879716
0.15,10.400,47.588212
0.15,10.500,48.307416
0.15,10.600,49.037489
0.15,10.700,49.778596
0.15,10.800,50.530903
0.15,10.900,51.294580
0.15,11.000,52.069798
0.15,11.100,52.856732
0.15,11.200,53.655560
0.15,11.300,54.466460
0.15,11.400,55.289615
0.15,11.500,56.125210
0.15,11.600,56.973434
0.15,11.700,57.834477
0.15,11.800,58.708534
0.15,11.900,59.595799
0.15,12.000,60.496475
0.25,0.000,10.000000
0.25,0.100,10.253151
0.25,0.200,10.512711
0.25,0.300,10.778842
0.25,0.400,11.051709
0.25,0.500,11.331485
0.25,0.600,11.618342
0.25,0.700,11.912462
0.25,0.800,12.214028
0.25,0.900,12.523227
0.25,1.000,12.840254
0.25,1.100,13.165307
0.25,1.200,13.498588
0.25,1.300,13.840306
0.25,1.400,14.190675
0.25,1.500,14.549914
0.25,1.600,14.918247
0.25,1.700,15.295904
0.25,1.800,15.683122
0.25,1.900,16.080142
0.25,2.000,16.487213
0.25,2.100,16.904588
0.25,2.200,17.332530
0.25,2.300,17.771305
0.25,2.400,18.221188
0.25,2.500,18.682460
0.25,2.600,19.155408
0.25,2.700,19.640330
0.25,2.800,20.137527
0.25,2.900,20.647311
0.25,3.000,21.170000
0.25,3.100,21.705921
0.25,3.200,22.255409
0.25,3.300,22.818808
0.25,3.400,23.396469
0.25,3.500,23.988753
0.25,3.600,24.596031
0.25,3.700,25.218683
0.25,3.800,25.857097
0.25,3.900,26.511672
0.25,4.000,27.182818
0.25,4.100,27.870955
0.25,4.200,28.576511
0.25,4.300,29.299929
0.25,4.400,30.041660
0.25,4.500,30.802168
0.25,4.600,31.581929
0.25,4.700,32.381429
0.25,4.800,33.201169
0.25,4.900,34.041661
0.25,5.000,34.903430
0.25,5.100,35.787014
0.25,5.200,36.692967
0.25,5.300,37.621854
0.25,5.400,38.574255
0.25,5.500,39.550767
0.25,5.600,40.552000
0.25,5.700,41.578578
0.25,5.800,42.631145
0.25,5.900,43.710358
0.25,6.000,44.816891
0.25,6.100,45.951436
0.25,6.200,47.114702
0.25,6.300,48.307416
0.25,6.400,49.530324
0.25,6.500,50.784190
0.25,6.600,52.069798
0.25,6.700,53.387951
0.25,6.800,54.739474
0.25,6.900,56.125210
0.25,7.000,57.546027
0.25,7.100,59.002811
0.25,7.200,60.496475
0.25,7.300,62.027950
0.25,7.400,63.598195
0.25,7.500,65.208191
0.25,7.600,66.858944
0.25,7.700,68.551487
0.25,7.800,70.286876
0.25,7.900,72.066197
0.25,8.000,73.890561
0.25,8.100,75.761109
0.25,8.200,77.679011
0.25,8.300,79.645465
0.25,8.400,81.661699
0.25,8.500,83.728975
0.25,8.600,85.848584
0.25,8.700,88.021851
0.25,8.800,90.250135
0.25,8.900,92.534828
0.25,9.000,94.877358
0.25,9.100,97.279190
0.25,9.200,99.741825
0.25,9.300,102.266801
0.25,9.400,104.855697
0.25,9.500,107.510132
0.25,9.600,110.231764
0.25,9.700,113.022294
0.25,9.800,115.883467
0.25,9.900,118.817071
0.25,10.000,121.824940
0.25,10.100,124.908953
0.25,10.200,128.071038
0.25,10.300,131.313172
0.25,10.400,134.637380
0.25,10.500,138.045742
0.25,10.600,141.540386
0.25,10.700,145.123498
0.25,10.800,148.797317
0.25,10.900,152.564139
0.25,11.000,156.426319
0.25,11.100,160.386270
0.25,11.200,164.446468
0.25,11.300,168.609450
0.25,11.400,172.877818
0.25,11.500,177.254241
0.25,11.600,181.741454
0.25,11.700,186.342260
0.25,11.800,191.059537
0.25,11.900,195.896232
0.25,12.000,200.855369
0.35,0.000,10.000000
0.35,0.100,10.356197
0.35,0.200,10.725082
0.35,0.300,11.107106
0.35,0.400,11.502738
0.35,0.500,11.912462
0.35,0.600,12.336781
0.35,0.700,12.776213
0.35,0.800,13.231298
0.35,0.900,13.702593
0.35,1.000,14.190675
0.35,1.100,14.696143
0.35,1.200,15.219616
0.35,1.300,15.761734
0.35,1.400,16.323162
0.35,1.500,16.904588
0.35,1.600,17.506725
0.35,1.700,18.130309
0.35,1.800,18.776106
0.35,1.900,19.444905
0.35,2.000,20.137527
0.35,2.100,20.854820
0.35,2.200,21.597663
0.35,2.300,22.366965
0.35,2.400,23.163670
0.35,2.500,23.988753
0.35,2.600,24.843225
0.35,2.700,25.728134
0.35,2.800,26.644562
0.35,2.900,27.593634
0.35,3.000,28.576511
0.35,3.100,29.594398
0.35,3.200,30.648542
0.35,3.300,31.740234
0.35,3.400,32.870812
0.35,3.500,34.041661
0.35,3.600,35.254215
0.35,3.700,36.509960
0.35,3.800,37.810434
0.35,3.900,39.157231
0.35,4.000,40.552000
0.35,4.100,41.996450
0.35,4.200,43.492351
0.35,4.300,45.041536
0.35,4.400,46.645903
0.35,4.500,48.307416
0.35,4.600,50.028112
0.35,4.700,51.810099
0.35,4.800,53.655560
0.35,4.900,55.566755
0.35,5.000,57.546027
0.35,5.100,59.595799
0.35,5.200,61.718584
0.35,5.300,63.916983
0.35,5.400,66.193687
0.35,5.500,68.551487
0.35,5.600,70.993271
0.35,5.700,73.522030
0.35,5.800,76.140864
0.35,5.900,78.852979
0.35,6.000,81.661699
0.35,6.100,84.570465
0.35,6.200,87.582840
0.35,6.300,90.702516
0.35,6.400,93.933313
0.35,6.500,97.279190
0.35,6.600,100.744247
0.35,6.700,104.332727
0.35,6.800,108.049029
0.35,6.900,111.897704
0.35,7.000,115.883467
0.35,7.100,120.011203
0.35,7.200,124.285967
0.35,7.300,128.712997
0.35,7.400,133.297716
0.35,7.500,138.045742
0.35,7.600,142.962891
0.35,7.700,148.055188
0.35,7.800,153.328870
0.35,7.900,158.790400
0.35,8.000,164.446468
0.35,8.100,170.304003
0.35,8.200,176.370182
0.35,8.300,182.652437
0.35,8.400,189.158463
0.35,8.500,195.896232
0.35,8.600,202.873999
0.35,8.700,210.100312
0.35,8.800,217.584024
0.35,8.900,225.334304
0.35,9.000,233.360646
0.35,9.100,241.672884
0.35,9.200,250.281202
0.35,9.300,259.196145
0.35,9.400,268.428637
0.35,9.500,277.989986
0.35,9.600,287.891909
0.35,9.700,298.146535
0.35,9.800,308.766427
0.35,9.900,319.764598
0.35,10.000,331.154520
0.35,10.100,342.950147
0.35,10.200,355.165932
0.35,10.300,367.816839
0.35,10.400,380.918367
0.35,10.500,394.486569
0.35,10.600,408.538065
0.35,10.700,423.090072
0.35,10.800,438.160417
0.35,10.900,453.767564
0.35,11.000,469.930632
0.35,11.100,486.669425
0.35,11.200,504.004448
0.35,11.300,521.956939
0.35,11.400,540.548894
0.35,11.500,559.803088
0.35,11.600,579.743111
0.35,11.700,600.393392
0.35,11.800,621.779229
0.35,11.900,643.926824
0.35,12.000,666.863310
0.45,0.000,10.000000
0.45,0.100,10.460279
0.45,0.200,10.941743
0.45,0.300,11.445368
0.45,0.400,11.972174
0.45,0.500,12.523227
0.45,0.600,13.099645
0.45,0.700,13.702593
0.45,0.800,14.333294
0.45,0.900,14.993025
0.45,1.000,15.683122
0.45,1.100,16.404982
0.45,1.200,17.160069
0.45,1.300,17.949910
0.45,1.400,18.776106
0.45,1.500,19.640330
0.45,1.600,20.544332
0.45,1.700,21.489944
0.45,1.800,22.479080
0.45,1.900,23.513744
0.45,2.000,24.596031
0.45,2.100,25.728134
0.45,2.200,26.912345
0.45,2.300,28.151062
0.45,2.400,29.446796
0.45,2.500,30.802168
0.45,2.600,32.219926
0.45,2.700,33.702941
0.45,2.800,35.254215
0.45,2.900,36.876891
0.45,3.000,38.574255
0.45,3.100,40.349746
0.45,3.200,42.206958
0.45,3.300,44.149654
0.45,3.400,46.181768
0.45,3.500,48.307416
0.45,3.600,50.530903
0.45,3.700,52.856732
0.45,3.800,55.289615
