time,prey,predator
0.000,30.000000,4.000000
0.100,32.295777,4.135879
0.200,34.745967,4.306923
0.300,37.353484,4.519193
0.400,40.118796,4.780297
0.500,43.038974,5.099800
0.600,46.106447,5.489758
0.700,49.307393,5.965387
0.800,52.619678,6.545910
0.900,56.010264,7.255581
1.000,59.432021,8.124903
1.100,62.819950,9.191967
1.200,66.086987,10.503760
1.300,69.119811,12.117106
1.400,71.775629,14.098599
1.500,73.881572,16.522480
1.600,75.239319,19.464955
1.700,75.638264,22.993162
1.800,74.880396,27.147496
1.900,72.817603,31.917967
2.000,69.396500,37.219236
2.100,64.697860,42.873935
2.200,58.952059,48.616392
2.300,52.515517,54.124321
2.400,45.808823,59.073652
2.500,39.237135,63.198172
2.600,33.122681,66.331821
2.700,27.670529,68.420867
2.800,22.970075,69.508377
2.900,19.020086,69.703459
3.000,15.761470,69.148696
3.100,13.106507,67.994156
3.200,10.959750,66.380641
3.300,9.230502,64.431119
3.400,7.838859,62.247921
3.500,6.717612,59.913357
3.600,5.811871,57.491991
3.700,5.077639,55.033478
3.800,4.480050,52.575369
3.900,3.991654,50.145605
4.000,3.590904,47.764614
4.100,3.260902,45.447003
4.200,2.988375,43.202909
4.300,2.762879,41.039050
4.400,2.576172,38.959546
4.500,2.421728,36.966544
4.600,2.294365,35.060713
4.700,2.189953,33.241610
4.800,2.105197,31.507971
4.900,2.037461,29.857934
5.000,1.984639,28.289204
5.100,1.945047,26.799190
5.200,1.917347,25.385101
5.300,1.900482,24.044026
5.400,1.893632,22.772993
5.500,1.896167,21.569014
5.600,1.907625,20.429118
5.700,1.927685,19.350381
5.800,1.956150,18.329940
5.900,1.992931,17.365011
6.000,2.038038,16.452899
6.100,2.091572,15.591002
6.200,2.153719,14.776820
6.300,2.224742,14.007952
6.400,2.304987,13.282102
6.500,2.394872,12.597076
6.600,2.494895,11.950783
6.700,2.605630,11.341231
6.800,2.727732,10.766527
6.900,2.861936,10.224873
7.000,3.009066,9.714567
7.100,3.170033,9.233993
7.200,3.345848,8.781625
7.300,3.537617,8.356023
7.400,3.746560,7.955825
7.500,3.974006,7.579752
7.600,4.221411,7.226598
7.700,4.490360,6.895234
7.800,4.782579,6.584602
7.900,5.099944,6.293712
8.000,5.444495,6.021646
8.100,5.818442,5.767550
8.200,6.224180,5.530638
8.300,6.664303,5.310186
8.400,7.141616,5.105539
8.500,7.659148,4.916106
8.600,8.220168,4.741362
8.700,8.828198,4.580851
8.800,9.487028,4.434188
8.900,10.200730,4.301062
9.000,10.973674,4.181241
9.100,11.810534,4.074581
9.200,12.716304,3.981028
9.300,13.696304,3.900637
9.400,14.756181,3.833575
9.500,15.901910,3.780147
9.600,17.139780,3.740808
9.700,18.476379,3.716195
9.800,19.918556,3.707157
9.900,21.473371,3.714798
10.000,23.148020,3.740523
10.100,24.949728,3.786111
10.200,26.885601,3.853794
10.300,28.962428,3.946362
10.400,31.186402,4.067302
10.500,33.562768,4.220971
10.600,36.095333,4.412816
10.700,38.785828,4.649666
10.800,41.633075,4.940097
10.900,44.631883,5.294908
11.000,47.771626,5.727721
11.100,51.034406,6.255737
11.200,54.392725,6.900682
11.300,57.806581,7.689929
11.400,61.219967,8.657794
11.500,64.556835,9.846888
11.600,67.716825,11.309292
11.700,70.571428,13.107066
11.800,72.961874,15.311270
11.900,74.700896,17.998182
12.000,75.581400,21.241026
12.100,75.395473,25.095532
12.200,73.965972,29.578841
12.300,71.188879,34.644263
12.400,67.077401,40.159199
12.500,61.791189,45.897742
12.600,55.632431,51.558783
12.700,49.000750,56.811418
12.800,42.318465,61.355158
12.900,35.953782,64.972896
13.000,30.169251,67.558008
13.100,25.107145,69.110835
13.200,20.805322,69.713335
13.300,17.228126,69.495958
13.400,14.298276,68.607876
13.500,11.921955,67.195811
13.600,10.005121,65.391843
13.700,8.462302,63.308187
13.800,7.220204,61.036447
13.900,6.218223,58.649278
14.000,5.407398,56.203054
14.100,4.748749,53.740740
14.200,4.211507,51.294557
14.300,3.771495,48.888265
14.400,3.409747,46.539047
14.500,3.111381,44.259016
14.600,2.864697,42.056398
14.700,2.660476,39.936459
14.800,2.491429,37.902213
14.900,2.351777,35.954979
15.000,2.236921,34.094801
15.100,2.143195,32.320775
15.200,2.067668,30.631297
15.300,2.007996,29.024260
15.400,1.962306,27.497201
15.500,1.929106,26.047411
