time,S,I,R
0.000,0.970000,0.030000,0.000000
0.200,0.967733,0.031590,0.000677
0.400,0.965352,0.033258,0.001391
0.600,0.962851,0.035008,0.002141
0.800,0.960226,0.036842,0.002931
1.000,0.957472,0.038765,0.003763
1.200,0.954583,0.040779,0.004638
1.400,0.951553,0.042889,0.005558
1.600,0.948378,0.045097,0.006526
1.800,0.945051,0.047406,0.007543
2.000,0.941566,0.049822,0.008612
2.200,0.937918,0.052346,0.009736
2.400,0.934102,0.054982,0.010916
2.600,0.930110,0.057734,0.012156
2.800,0.925937,0.060605,0.013457
3.000,0.921578,0.063598,0.014823
3.200,0.917027,0.066717,0.016257
3.400,0.912277,0.069963,0.017760
3.600,0.907323,0.073341,0.019336
3.800,0.902160,0.076852,0.020988
4.000,0.896783,0.080499,0.022719
4.200,0.891186,0.084283,0.024531
4.400,0.885364,0.088208,0.026428
4.600,0.879314,0.092273,0.028413
4.800,0.873030,0.096481,0.030489
5.000,0.866510,0.100831,0.032659
5.200,0.859749,0.105325,0.034927
5.400,0.852745,0.109961,0.037295
5.600,0.845495,0.114739,0.039766
5.800,0.837999,0.119657,0.042344
6.000,0.830254,0.124714,0.045032
6.200,0.822260,0.129908,0.047833
6.400,0.814017,0.135234,0.050749
6.600,0.805528,0.140689,0.053784
6.800,0.796792,0.146268,0.056940
7.000,0.787814,0.151966,0.060220
7.200,0.778596,0.157777,0.063627
7.400,0.769143,0.163693,0.067163
7.600,0.759461,0.169709,0.070831
7.800,0.749555,0.175814,0.074631
8.000,0.739432,0.182001,0.078567
8.200,0.729102,0.188259,0.082640
8.400,0.718572,0.194577,0.086851
8.600,0.707853,0.200946,0.091202
8.800,0.696955,0.207352,0.095693
9.000,0.685891,0.213784,0.100325
9.200,0.674671,0.220229,0.105099
9.400,0.663310,0.226674,0.110015
9.600,0.651822,0.233105,0.115073
9.800,0.640220,0.239508,0.120272
10.000,0.628520,0.245869,0.125611
10.200,0.616736,0.252174,0.131090
10.400,0.604885,0.258409,0.136706
10.600,0.592983,0.264558,0.142459
10.800,0.581045,0.270609,0.148346
11.000,0.569088,0.276547,0.154365
11.200,0.557129,0.282358,0.160513
11.400,0.545182,0.288030,0.166788
11.600,0.533266,0.293549,0.173185
11.800,0.521394,0.298904,0.179703
12.000,0.509582,0.304082,0.186336
12.200,0.497845,0.309074,0.193081
12.400,0.486198,0.313868,0.199934
