step,black,white,temperature
1,197,186,31.0859
2,183,175,31.0625
3,179,166,31.1016
4,166,160,31.0469
5,165,149,31.1250
6,163,138,31.1953
7,150,129,31.1641
8,140,125,31.1172
9,133,125,31.0625
10,130,132,30.9844
11,133,134,30.9922
12,128,127,31.0078
13,128,118,31.0781
14,124,124,31.0000
15,125,123,31.0156
16,121,123,30.9844
17,124,125,30.9922
18,124,118,31.0469
19,123,114,31.0703
20,126,121,31.0391
21,128,118,31.0781
22,128,117,31.0859
23,128,115,31.1016
24,134,114,31.1562
25,133,116,31.1328
26,133,118,31.1172
27,126,130,30.9688
28,129,131,30.9844
29,127,133,30.9531
30,130,136,30.9531
31,134,140,30.9531
32,134,141,30.9453
33,129,135,30.9531
34,127,127,31.0000
35,124,126,30.9844
36,129,124,31.0391
37,122,123,30.9922
38,123,125,30.9844
39,113,127,30.8906
40,111,128,30.8672
41,115,125,30.9219
42,111,127,30.8750
43,110,125,30.8828
44,115,126,30.9141
45,120,127,30.9453
46,116,126,30.9219
47,119,130,30.9141
48,123,130,30.9453
49,124,127,30.9766
50,131,132,30.9922
51,135,132,31.0234
52,131,126,31.0391
53,126,127,30.9922
54,120,121,30.9922
55,121,126,30.9609
56,123,120,31.0234
57,125,127,30.9844
58,128,130,30.9844
59,121,130,30.9297
60,126,130,30.9688
61,132,131,31.0078
62,140,135,31.0391
63,138,133,31.0391
64,145,134,31.0859
65,142,137,31.0391
66,134,130,31.0312
67,136,128,31.0625
68,136,123,31.1016
69,136,118,31.1406
70,138,122,31.1250
71,134,121,31.1016
72,137,123,31.1094
73,126,131,30.9609
74,123,128,30.9609
75,123,123,31.0000
76,120,124,30.9688
77,120,126,30.9531
78,119,124,30.9609
79,118,123,30.9609
80,117,116,31.0078
81,108,111,30.9766
82,109,108,31.0078
83,116,109,31.0547
84,118,109,31.0703
85,121,107,31.1094
86,122,110,31.0938
87,128,115,31.1016
88,134,114,31.1562
89,137,121,31.1250
90,136,124,31.0938
91,133,117,31.1250
92,128,115,31.1016
93,128,114,31.1094
94,131,117,31.1094
95,129,115,31.1094
96,138,119,31.1484
97,149,120,31.2266
98,150,112,31.2969
99,149,113,31.2812
100,150,115,31.2734
101,162,114,31.3750
102,153,115,31.2969
103,164,112,31.4062
104,160,107,31.4141
105,161,112,31.3828
106,150,113,31.2891
107,141,112,31.2266
108,141,109,31.2500
109,143,102,31.3203
110,146,108,31.2969
111,146,103,31.3359
112,141,103,31.2969
113,142,110,31.2500
114,145,112,31.2578
115,152,122,31.2344
116,156,117,31.3047
117,159,108,31.3984
118,157,106,31.3984
119,158,107,31.3984
120,154,103,31.3984
