step,S,I,R
1,172,8,0
2,170,10,0
3,168,12,0
4,164,16,0
5,160,20,0
6,153,27,0
7,145,35,0
8,136,44,0
9,127,53,0
10,117,55,8
11,108,62,10
12,100,68,12
13,90,74,16
14,76,84,20
15,65,88,27
16,59,86,35
17,54,82,44
18,48,79,53
19,41,76,63
20,37,71,72
21,33,67,80
22,27,63,90
23,24,52,104
24,22,43,115
25,19,40,121
26,18,36,126
27,17,31,132
28,16,25,139
29,16,21,143
30,14,19,147
31,14,13,153
32,14,10,156
33,13,9,158
34,13,6,161
35,12,6,162
36,12,5,163
37,12,4,164
38,12,4,164
39,12,2,166
40,12,2,166
41,12,2,166
42,12,1,167
43,12,1,167
44,12,0,168
45,12,0,168
46,12,0,168
47,12,0,168
48,12,0,168
49,12,0,168
50,12,0,168
51,12,0,168
52,12,0,168
53,12,0,168
54,12,0,168
55,12,0,168
56,12,0,168
57,12,0,168
58,12,0,168
59,12,0,168
60,12,0,168
61,12,0,168
62,12,0,168
63,12,0,168
64,12,0,168
65,12,0,168
66,12,0,168
67,12,0,168
68,12,0,168
69,12,0,168
70,12,0,168
71,12,0,168
72,12,0,168
73,12,0,168
74,12,0,168
75,12,0,168
76,12,0,168
77,12,0,168
78,12,0,168
79,12,0,168
80,12,0,168
81,12,0,168
82,12,0,168
83,12,0,168
84,12,0,168
85,12,0,168
86,12,0,168
87,12,0,168
88,12,0,168
89,12,0,168
90,12,0,168
91,12,0,168
92,12,0,168
93,12,0,168
94,12,0,168
95,12,0,168
96,12,0,168
97,12,0,168
98,12,0,168
99,12,0,168
100,12,0,168
101,12,0,168
102,12,0,168
103,12,0,168
104,12,0,168
105,12,0,168
106,12,0,168
107,12,0,168
108,12,0,168
109,12,0,168
110,12,0,168
111,12,0,168
112,12,0,168
113,12,0,168
114,12,0,168
115,12,0,168
116,12,0,168
117,12,0,168
118,12,0,168
119,12,0,168
120,12,0,168
