strategy,step,waiting,eating
naive,1,1,2
naive,2,0,1
naive,3,0,0
naive,4,0,0
naive,5,1,1
naive,6,1,2
naive,7,1,1
naive,8,1,1
naive,9,0,1
naive,10,1,1
naive,11,0,2
naive,12,0,0
naive,13,2,2
naive,14,0,2
naive,15,0,1
naive,16,0,2
naive,17,1,1
naive,18,0,1
naive,19,0,1
naive,20,2,2
naive,21,1,2
naive,22,0,2
naive,23,0,1
naive,24,0,0
naive,25,1,2
naive,26,0,1
naive,27,0,1
naive,28,0,0
naive,29,0,0
naive,30,0,2
naive,31,0,0
naive,32,0,2
naive,33,0,0
naive,34,0,2
naive,35,1,1
naive,36,0,1
naive,37,0,2
naive,38,0,2
naive,39,1,1
naive,40,1,1
naive,41,0,2
naive,42,0,0
naive,43,1,1
naive,44,0,1
naive,45,0,1
naive,46,1,1
naive,47,0,2
naive,48,0,1
naive,49,0,1
naive,50,0,1
naive,51,0,2
naive,52,0,0
naive,53,0,1
naive,54,0,1
naive,55,0,1
naive,56,0,0
naive,57,0,2
naive,58,0,1
naive,59,0,1
naive,60,0,1
naive,61,0,1
naive,62,0,0
naive,63,1,1
naive,64,1,1
naive,65,0,2
naive,66,0,2
naive,67,0,2
naive,68,0,1
naive,69,0,1
naive,70,1,1
naive,71,0,1
naive,72,0,2
naive,73,0,1
naive,74,1,2
naive,75,1,2
naive,76,0,1
naive,77,1,2
naive,78,0,1
naive,79,1,1
naive,80,1,2
naive,81,0,2
naive,82,0,0
naive,83,1,2
naive,84,1,1
naive,85,0,2
naive,86,0,1
naive,87,0,2
naive,88,0,1
naive,89,0,0
naive,90,0,1
naive,91,0,1
naive,92,0,1
naive,93,1,1
naive,94,0,1
naive,95,0,1
naive,96,0,2
naive,97,0,0
naive,98,1,1
naive,99,1,1
naive,100,0,1
naive,101,1,2
naive,102,0,2
naive,103,0,2
naive,104,0,1
naive,105,1,2
naive,106,0,1
naive,107,0,1
naive,108,1,2
naive,109,0,1
naive,110,0,0
naive,111,0,2
naive,112,0,1
naive,113,0,1
naive,114,1,2
naive,115,0,1
naive,116,1,1
naive,117,1,2
naive,118,0,2
naive,119,1,2
naive,120,0,2
naive,121,0,0
naive,122,0,0
naive,123,0,1
naive,124,0,2
naive,125,0,0
naive,126,0,1
naive,127,0,1
naive,128,0,2
naive,129,0,0
naive,130,0,1
naive,131,2,2
naive,132,1,2
naive,133,0,2
naive,134,0,1
naive,135,1,1
naive,136,1,1
naive,137,0,1
naive,138,1,2
naive,139,0,1
naive,140,1,1
naive,141,0,1
naive,142,0,1
naive,143,1,2
naive,144,1,1
naive,145,0,2
naive,146,1,1
naive,147,0,1
naive,148,1,2
naive,149,0,2
naive,150,0,2
naive,151,0,1
naive,152,1,2
naive,153,0,2
naive,154,0,0
naive,155,0,2
naive,156,0,0
naive,157,1,2
naive,158,0,1
naive,159,0,1
naive,160,0,2
asymmetric,1,0,1
asymmetric,2,0,1
asymmetric,3,0,0
asymmetric,4,0,2
asymmetric,5,1,2
asymmetric,6,0,2
asymmetric,7,0,1
asymmetric,8,0,2
asymmetric,9,1,2
asymmetric,10,0,2
asymmetric,11,0,0
asymmetric,12,0,1
asymmetric,13,0,1
asymmetric,14,0,1
asymmetric,15,0,0
asymmetric,16,1,1
asymmetric,17,1,1
asymmetric,18,1,2
asymmetric,19,0,1
asymmetric,20,0,2
asymmetric,21,0,1
asymmetric,22,0,2
asymmetric,23,0,0
asymmetric,24,1,1
asymmetric,25,0,2
asymmetric,26,0,0
asymmetric,27,0,1
asymmetric,28,1,2
asymmetric,29,0,2
asymmetric,30,1,1
asymmetric,31,0,1
asymmetric,32,0,1
asymmetric,33,0,1
asymmetric,34,1,1
asymmetric,35,1,2
asymmetric,36,1,1
asymmetric,37,0,2
asymmetric,38,0,1
asymmetric,39,0,2
asymmetric,40,1,2
asymmetric,41,1,2
asymmetric,42,1,1
asymmetric,43,0,1
asymmetric,44,1,1
asymmetric,45,0,2
asymmetric,46,0,1
asymmetric,47,1,1
asymmetric,48,2,1
asymmetric,49,0,2
asymmetric,50,0,1
asymmetric,51,0,2
asymmetric,52,0,2
asymmetric,53,0,0
asymmetric,54,1,1
asymmetric,55,0,2
asymmetric,56,0,0
asymmetric,57,1,2
asymmetric,58,0,1
asymmetric,59,1,2
asymmetric,60,1,1
asymmetric,61,1,1
asymmetric,62,0,1
asymmetric,63,0,2
asymmetric,64,0,0
asymmetric,65,0,0
asymmetric,66,0,2
asymmetric,67,0,1
asymmetric,68,0,2
asymmetric,69,1,2
asymmetric,70,1,1
asymmetric,71,2,1
asymmetric,72,1,2
asymmetric,73,0,1
asymmetric,74,0,1
asymmetric,75,0,1
asymmetric,76,0,1
asymmetric,77,0,1
asymmetric,78,1,1
asymmetric,79,2,2
asymmetric,80,0,2
asymmetric,81,0,1
asymmetric,82,0,1
asymmetric,83,0,1
asymmetric,84,1,1
asymmetric,85,0,1
asymmetric,86,0,0
asymmetric,87,1,1
asymmetric,88,1,1
asymmetric,89,0,2
asymmetric,90,1,1
asymmetric,91,0,2
