time,S,I,R
0.0000,95,5,0
0.1953,94,6,0
0.2398,93,7,0
0.2786,92,8,0
0.2978,92,7,1
0.5720,91,8,1
0.7579,90,9,1
0.9371,89,10,1
1.5732,88,11,1
1.9122,87,12,1
1.9367,86,13,1
2.4179,85,14,1
2.5161,84,15,1
2.5514,84,14,2
2.6634,83,15,2
2.6689,82,16,2
2.6910,82,15,3
2.7432,81,16,3
2.9150,81,15,4
2.9589,80,16,4
3.3534,79,17,4
3.4398,78,18,4
3.4865,77,19,4
3.5286,76,20,4
3.5482,76,19,5
3.6455,75,20,5
3.6879,74,21,5
3.7831,73,22,5
3.8709,73,21,6
3.8885,72,22,6
3.9369,71,23,6
4.1494,70,24,6
4.2652,69,25,6
4.3449,68,26,6
4.3536,67,27,6
4.5002,66,28,6
4.5591,65,29,6
4.5878,65,28,7
4.6945,64,29,7
4.7785,63,30,7
4.7923,62,31,7
4.8205,61,32,7
4.9471,61,31,8
4.9997,60,32,8
5.1208,59,33,8
5.1320,58,34,8
5.2259,57,35,8
5.3990,56,36,8
5.4457,55,37,8
5.5562,55,36,9
5.6479,55,35,10
5.8333,54,36,10
5.9155,53,37,10
6.0111,53,36,11
6.2505,52,37,11
6.3160,51,38,11
6.4016,51,37,12
6.4648,50,38,12
6.5231,49,39,12
6.5416,49,38,13
6.5812,48,39,13
6.6482,47,40,13
6.6595,46,41,13
6.8704,45,42,13
6.9096,44,43,13
7.0247,43,44,13
7.0600,42,45,13
7.0672,42,44,14
7.2337,42,43,15
7.2398,41,44,15
7.2492,41,43,16
7.2768,40,44,16
7.3358,40,43,17
7.5720,39,44,17
7.5878,39,43,18
7.6494,39,42,19
7.9374,38,43,19
8.0065,37,44,19
8.0441,36,45,19
8.1761,35,46,19
8.1768,35,45,20
8.1769,35,44,21
8.2315,35,43,22
8.3403,35,42,23
8.5271,34,43,23
8.6746,33,44,23
8.7181,33,43,24
8.7401,32,44,24
8.8695,31,45,24
8.9963,30,46,24
9.0033,30,45,25
9.0551,29,46,25
9.0797,29,45,26
9.1285,29,44,27
9.1838,28,45,27
9.3808,28,44,28
9.5272,28,43,29
9.5281,28,42,30
9.5432,28,41,31
9.6334,28,40,32
9.9977,27,41,32
10.1342,26,42,32
10.1661,26,41,33
10.2745,25,42,33
10.4794,24,43,33
10.4806,23,44,33
10.5190,22,45,33
10.6403,21,46,33
10.7860,20,47,33
10.8219,19,48,33
11.0216,18,49,33
11.0276,18,48,34
11.1581,17,49,34
11.2070,16,50,34
11.2708,16,49,35
11.3236,16,48,36
11.3620,15,49,36
11.4315,14,50,36
11.8410,14,49,37
11.9314,14,48,38
12.0351,13,49,38
12.1028,12,50,38
12.2216,12,49,39
12.3130,11,50,39
12.4609,11,49,40
12.4743,11,48,41
12.5280,10,49,41
12.8979,9,50,41
12.9229,9,49,42
12.9445,8,50,42
13.1115,8,49,43
13.2036,8,48,44
13.2062,7,49,44
13.3168,6,50,44
13.6082,6,49,45
13.6672,6,48,46
13.7576,5,49,46
13.8172,5,48,47
14.0288,5,47,48
14.0591,5,46,49
14.2343,5,45,50
14.4718,5,44,51
14.8213,5,43,52
14.8529,5,42,53
14.9576,5,41,54
15.5770,4,42,54
15.6813,4,41,55
16.2365,4,40,56
16.2810,4,39,57
16.3539,4,38,58
16.7130,3,39,58
16.7759,2,40,58
16.9956,1,41,58
17.0051,1,40,59
17.1012,0,41,59
17.1069,0,40,60
17.2222,0,39,61
17.2464,0,38,62
17.7288,0,37,63
17.7404,0,36,64
17.7514,0,35,65
18.4736,0,34,66
18.7490,0,33,67
19.0336,0,32,68
19.0377,0,31,69
19.4066,0,30,70
19.8594,0,29,71
20.5419,0,28,72
20.9318,0,27,73
21.1339,0,26,74
21.6344,0,25,75
21.7568,0,24,76
21.9018,0,23,77
22.3171,0,22,78
23.2338,0,21,79
23.2506,0,20,80
25.7204,0,19,81
25.8207,0,18,82
26.0222,0,17,83
26.0947,0,16,84
26.8554,0,15,85
27.2206,0,14,86
28.0261,0,13,87
28.0906,0,12,88
28.1937,0,11,89
28.3895,0,10,90
28.5391,0,9,91
29.3356,0,8,92
30.8729,0,7,93
32.5667,0,6,94
34.8480,0,5,95
39.1623,0,4,96
40.7481,0,3,97
40.8991,0,2,98
41.3842,0,1,99
41.5718,0,0,100
