time,queue_length,busy_servers
0.0194,0,1
0.2366,0,2
0.2590,0,1
0.3460,0,0
0.4109,0,1
0.5233,0,0
1.4414,0,1
2.2448,0,2
2.4584,1,2
2.8956,0,2
2.9347,0,1
2.9907,0,2
3.1001,1,2
3.2127,0,2
3.2475,1,2
3.4689,2,2
3.5115,1,2
3.5123,2,2
3.6539,3,2
4.0073,4,2
4.1840,5,2
4.2944,6,2
4.8630,5,2
5.6809,6,2
6.1105,7,2
6.1155,8,2
6.5806,9,2
7.8198,10,2
7.8615,11,2
8.3690,12,2
8.7062,11,2
8.8082,12,2
9.1672,13,2
9.3893,14,2
9.6178,13,2
9.8588,14,2
9.9229,15,2
10.0663,14,2
10.1479,13,2
10.8998,12,2
10.9745,11,2
11.1753,12,2
11.4600,13,2
11.9093,12,2
12.0274,11,2
12.4398,10,2
12.8328,9,2
12.9920,8,2
13.0897,7,2
13.1977,8,2
13.2183,7,2
13.4591,6,2
13.7225,5,2
13.7612,4,2
13.9228,5,2
14.4938,6,2
14.6720,5,2
15.6414,6,2
15.9475,5,2
16.4842,4,2
16.5845,3,2
17.7801,4,2
17.9087,5,2
17.9410,4,2
18.0599,3,2
18.2872,4,2
18.5170,3,2
18.5336,2,2
18.7981,3,2
18.9494,2,2
19.4839,3,2
20.1866,2,2
20.4323,3,2
20.6375,4,2
20.6927,5,2
20.9981,6,2
21.0219,5,2
21.0973,4,2
21.5737,3,2
21.6763,4,2
21.7159,5,2
21.7268,4,2
21.8480,5,2
22.3412,6,2
23.8352,5,2
24.1209,6,2
24.6420,7,2
24.9498,6,2
25.5330,5,2
25.7733,4,2
25.8175,5,2
25.9436,6,2
26.3199,5,2
26.9589,6,2
27.2046,5,2
27.3921,6,2
28.9319,5,2
29.0196,6,2
29.4146,7,2
29.4333,6,2
30.1234,5,2
30.3255,6,2
30.5383,7,2
30.6246,6,2
30.8704,5,2
30.9555,4,2
31.2384,3,2
31.2745,2,2
31.2896,1,2
31.5591,2,2
32.8695,3,2
33.9365,4,2
34.0337,5,2
34.6550,6,2
34.8482,5,2
35.5054,4,2
35.9229,3,2
36.4164,4,2
36.8854,3,2
37.2168,2,2
37.5769,3,2
38.2674,2,2
38.2687,1,2
38.4296,2,2
38.6236,3,2
38.8455,2,2
38.8696,1,2
39.5241,2,2
39.5599,1,2
39.8945,2,2
40.3523,1,2
40.6707,2,2
40.8457,1,2
41.4176,0,2
41.5223,0,1
42.4561,0,2
43.0006,0,1
43.1570,0,0
43.3010,0,1
44.3473,0,2
44.3885,1,2
44.4550,2,2
44.4643,1,2
44.8212,0,2
44.9391,0,1
45.1565,0,2
45.2345,1,2
46.0625,0,2
46.0715,1,2
46.2485,2,2
46.3555,3,2
46.4018,2,2
46.5838,3,2
46.9829,4,2
47.4804,3,2
47.5214,4,2
47.7859,5,2
49.2590,6,2
49.5540,5,2
49.9539,6,2
50.2157,7,2
50.2416,6,2
50.3783,5,2
50.9887,4,2
51.9844,5,2
52.8898,4,2
53.2745,5,2
53.7333,4,2
53.8731,3,2
54.4749,4,2
54.5422,5,2
54.7750,6,2
54.9045,7,2
55.1559,6,2
55.3301,7,2
55.3566,6,2
55.7351,7,2
56.4005,6,2
56.4526,7,2
56.5178,6,2
57.1017,7,2
57.2673,6,2
57.5914,5,2
57.9868,6,2
58.2895,7,2
58.4357,6,2
58.5342,7,2
58.9027,6,2
60.2222,7,2
