time,I_des,I_det
0.00,5,5.0000
0.50,5,5.5865
1.00,8,6.5789
1.50,9,7.7177
2.00,11,8.5635
2.50,11,9.4813
3.00,10,10.9961
3.50,11,12.6763
4.00,10,13.8853
4.50,12,15.1609
5.00,14,17.1857
5.50,13,19.3187
6.00,11,20.7826
6.50,12,22.2648
7.00,12,24.4899
7.50,15,26.6693
8.00,16,28.0693
8.50,16,29.4083
9.00,17,31.2694
9.50,18,32.9143
10.00,19,33.8729
10.50,19,34.7119
11.00,22,35.7352
11.50,22,36.4702
12.00,25,36.8011
12.50,24,37.0083
13.00,23,37.0981
13.50,23,36.9420
14.00,23,36.7138
14.50,25,36.3960
15.00,26,35.7696
15.50,28,34.9888
16.00,31,34.3961
16.50,30,33.7549
17.00,30,32.7178
17.50,30,31.6103
18.00,28,30.8429
18.50,27,30.0586
19.00,27,28.8608
19.50,24,27.6498
20.00,22,26.8412
20.50,24,26.0353
21.00,25,24.8369
21.50,28,23.6580
22.00,28,22.8859
22.50,26,22.1267
23.00,26,21.0144
23.50,24,19.9371
24.00,24,19.2395
24.50,26,18.5589
25.00,27,17.5710
25.50,25,16.6232
26.00,25,16.0138
26.50,23,15.4224
27.00,21,14.5688
27.50,19,13.7550
28.00,20,13.2341
28.50,19,12.7304
29.00,19,12.0062
29.50,17,11.3187
30.00,17,10.8801
30.50,16,10.4569
31.00,14,9.8501
31.50,14,9.2758
32.00,14,8.9102
32.50,13,8.5581
33.00,13,8.0541
33.50,12,7.5782
34.00,10,7.2757
34.50,11,6.9847
35.00,11,6.5689
35.50,10,6.1768
36.00,9,5.9279
36.50,9,5.6887
37.00,9,5.3471
37.50,9,5.0254
38.00,8,4.8215
38.50,8,4.6255
39.00,6,4.3460
39.50,6,4.0830
40.00,5,3.9163
40.50,5,3.7563
41.00,5,3.5282
41.50,5,3.3137
42.00,5,3.1778
42.50,6,3.0474
43.00,6,2.8616
43.50,4,2.6870
44.00,4,2.5764
44.50,4,2.4704
45.00,4,2.3193
45.50,3,2.1774
46.00,3,2.0875
46.50,3,2.0014
47.00,3,1.8787
47.50,3,1.7634
48.00,2,1.6905
48.50,2,1.6206
49.00,2,1.5210
49.50,2,1.4276
50.00,2,1.3684
50.50,2,1.3117
51.00,2,1.2310
51.50,2,1.1553
52.00,2,1.1074
52.50,2,1.0614
53.00,2,0.9960
53.50,1,0.9347
54.00,1,0.8959
54.50,1,0.8587
55.00,1,0.8057
55.50,1,0.7560
56.00,1,0.7246
56.50,1,0.6945
57.00,1,0.6516
57.50,0,0.6114
58.00,0,0.5860
58.50,0,0.5616
59.00,0,0.5269
59.50,0,0.4944
60.00,0,0.4738
